order_id,product_id,quantity,discount,sales,profit
CA-2012-124891,TEC-AC-10003033,7,0.0,2309.65,762.1844999999998
IN-2013-77878,FUR-CH-10003950,9,0.1,3709.3949999999995,-288.765
IN-2013-71249,TEC-PH-10004664,9,0.1,5175.171000000001,919.9709999999997
ES-2013-1579342,TEC-PH-10004583,5,0.1,2892.5099999999998,-96.54000000000005
SG-2013-4320,TEC-SHA-10000501,8,0.0,2832.96,311.52
IN-2013-42360,TEC-PH-10000030,5,0.1,2862.675,763.2750000000001
IN-2011-81826,FUR-CH-10004050,4,0.0,1822.0799999999997,564.84
IN-2012-86369,FUR-TA-10002958,6,0.0,5244.84,996.4799999999999
CA-2014-135909,OFF-BI-10003527,5,0.2,5083.96,1906.485
CA-2012-116638,FUR-TA-10000198,13,0.4,4297.644,-1862.3124000000003
CA-2011-102988,OFF-SU-10002881,5,0.0,4164.049999999999,83.28100000000006
ID-2012-28402,FUR-TA-10001889,5,0.0,4626.15,647.55
SA-2011-1830,TEC-CIS-10001717,4,0.0,2616.96,1151.4
MX-2012-130015,FUR-CH-10002033,7,0.0,2221.8,622.02
IN-2013-73951,OFF-AP-10003500,12,0.0,3701.5199999999995,1036.08
ES-2014-5099955,OFF-AP-10000423,4,0.1,1869.5879999999997,186.94800000000004
CA-2014-143567,TEC-AC-10004145,9,0.0,2249.91,517.4793000000001
ES-2014-1651774,OFF-AP-10004512,14,0.0,7958.58,3979.0799999999995
IN-2014-11763,TEC-CO-10000865,9,0.1,2565.594,28.40399999999994
TZ-2014-8190,OFF-KIT-10004058,6,0.0,3409.74,818.28
PL-2012-7820,FUR-HON-10000224,4,0.0,1977.7199999999998,276.84000000000003
CA-2011-154627,TEC-PH-10001363,6,0.2,2735.952,341.9939999999997
IN-2011-44803,FUR-CH-10000027,6,0.0,2753.999999999999,358.02
ES-2013-2860574,OFF-AP-10003590,10,0.0,5273.7,1898.4
US-2014-133193,TEC-PH-10004182,4,0.0,1713.8400000000001,445.52
MX-2014-165309,FUR-TA-10002827,8,0.2,2106.496,526.4960000000001
IN-2011-10286,FUR-TA-10004744,2,0.0,1715.1599999999999,720.36
ES-2011-4699764,OFF-AP-10004512,6,0.1,3069.7380000000003,1364.2379999999996
CA-2013-159016,TEC-PH-10002885,8,0.2,4158.912,363.90480000000025
IN-2012-44810,FUR-CH-10001415,4,0.0,1878.7199999999998,582.36
US-2011-128776,TEC-PH-10002815,5,0.2,1696.64,-148.46000000000004
ES-2012-5870268,TEC-MA-10000161,9,0.15,2402.8650000000002,763.155
CA-2012-139731,FUR-CH-10002024,5,0.3,2453.43,-350.4899999999999
IN-2011-28087,OFF-AP-10004246,5,0.1,2526.93,561.48
CA-2011-168494,FUR-TA-10003473,12,0.2,3610.848,135.4068000000002
CG-2011-8610,TEC-APP-10000308,6,0.0,3817.26,1068.6599999999999
